data_category,prefecture_code,police_station_code,report_id,accident_details_code,fatalities,injured_persons,route_code,location_code,municipality_code,occurence_year,occurence_month,occurence_date,occurence_hour,occurence_minute,day_night_code,sunrise_hour,sunrise_minute,sunset_hour,sunset_minute,weather_code,terrain_code,road_condition_code,road_config_code,traffic_signal_code,stop_reg_signage_code_party_a,stop_reg_roadmarking_code_party_a,stop_reg_signage_code_party_b,stop_reg_roadmarking_code_party_b,road_width_code,road_alignment_code,collision_point_code,zone_reg_code,median_facility_code,pedestrian_vehicle_separation_code,accident_type_code,age_party_a,age_party_b,party_type_code_party_a,party_type_code_party_b,vehicle_use_code_party_a,vehicle_use_code_party_b,vehicle_shape_code_party_a,vehicle_shape_code_party_b,auto_transm_code_party_a,auto_transm_code_party_b,safety_feature_code_party_a,safety_feature_code_party_b,speed_reg_code_party_a,speed_reg_code_party_b,vehicle_impact_point_code_party_a,vehicle_impact_point_code_party_b,vehicle_damage_level_party_a,vehicle_damage_level_party_b,airbag_code_party_a,airbag_code_party_b,side_airbag_code_party_a,side_airbag_code_party_b,injury_severity_code_party_a,injury_severity_code_party_b,latitude_north,longitude_east,occurence_day_code,public_holiday_code,days_since_cognitive_test_party_a,days_since_cognitive_test_party_b,driving_practice_method_code_party_a,driving_practice_method_code_party_b
1,97,101,1,2,0,1,27220,0,201,2024,1,4,8,22,12,7,17,17,51,1,2,1,14,7,0,0,0,0,5,8,1,70,1,2,21,55,75,3,35,31,31,1,0,1,0,11,11,5,5,70,10,3,3,2,0,2,0,4,2,261216294,1274315334,5,3,9999,413,9,9
1,97,101,3,2,0,1,3290,758,201,2024,1,4,8,43,12,7,17,17,51,1,1,1,14,1,0,0,0,0,4,9,1,70,1,2,21,55,35,3,34,1,31,1,0,1,0,11,11,10,10,40,24,3,3,2,0,2,0,4,2,261218839,1274042917,5,3,9999,9999,9,1
1,97,101,4,2,0,1,3300,0,201,2024,1,3,18,0,21,7,17,17,50,2,1,2,1,1,9,22,9,22,18,9,30,70,5,2,21,1,1,3,36,31,31,1,0,1,0,11,11,3,10,50,14,3,3,2,0,2,0,4,2,261252644,1274140616,4,3,9999,9999,1,1
1,97,101,5,2,0,1,3290,723,201,2024,1,1,9,0,12,7,17,17,48,1,1,1,14,7,0,0,0,0,6,9,1,70,1,2,21,1,45,4,4,31,31,1,1,1,1,11,11,5,5,10,30,3,3,2,2,2,2,4,2,261129238,1274213936,2,1,9999,9999,1,5
1,97,101,7,2,0,1,10290,0,201,2024,1,6,9,15,12,7,18,17,52,2,1,1,13,7,0,0,0,0,4,5,1,70,4,2,21,45,25,3,35,1,31,1,0,1,0,11,11,3,3,0,20,4,3,2,0,2,0,4,2,261306121,1274210631,7,3,9999,9999,1,5
1,97,101,8,2,0,1,3300,0,201,2024,1,5,7,38,11,7,18,17,51,1,1,1,1,1,9,22,9,22,18,9,30,70,5,2,21,35,25,3,14,31,31,1,11,1,1,11,11,4,4,30,10,3,3,2,2,2,2,2,4,261331544,1274158319,6,3,9999,9999,5,1
1,97,101,9,2,0,1,32010,0,201,2024,1,14,20,59,22,7,18,17,58,1,1,1,14,7,0,0,0,0,3,9,1,70,4,2,21,65,35,3,36,1,31,1,0,1,0,11,11,2,10,80,24,3,3,2,0,2,0,4,2,261243052,1274127272,1,3,9999,9999,9,1
1,97,101,12,2,0,1,580,1187,201,2024,1,10,1,28,22,7,18,17,55,2,1,2,1,1,9,22,9,22,19,9,30,70,5,2,21,55,1,4,51,31,41,1,0,1,0,11,0,4,0,10,42,3,3,2,0,2,0,4,2,261348828,1274109985,4,3,9999,0,9,0
1,97,101,15,2,0,1,32010,0,201,2024,1,13,12,20,12,7,18,17,57,1,1,1,1,7,9,22,0,0,15,9,30,70,5,2,1,35,55,4,61,31,0,1,0,1,0,11,0,10,0,50,0,3,0,2,0,2,0,4,2,261433554,1274100326,7,3,9999,0,1,0
1,97,101,16,2,0,1,27510,0,201,2024,1,16,10,18,12,7,18,17,59,1,1,1,14,7,0,0,0,0,5,9,1,70,1,2,21,75,45,3,35,31,31,1,0,1,0,11,11,4,4,40,14,3,3,2,0,2,0,4,4,261334356,1274137925,3,3,127,9999,9,9
